experiment_id,vulnerability,condition,run,timestamp_utc,model,temperature,max_tokens,detected,patch_generation_ok,test_generation_ok,syntax_ok,security_ok,functional_ok,regression_ok,semgrep_ok,bandit_ok,tests_ok,status,changed_lines,changed_files,semgrep_findings,bandit_findings,context_characters,context_lines,generation_seconds,test_generation_seconds,total_seconds,prompt_sha256,patch_sha256,error
cmdi_01_C0_R1,cmdi_01.py,C0,1,2026-09-07T14:49:41.715929+00:00,qwen/qwen3.6-27b,0.0,400,True,True,True,False,False,False,False,False,False,False,SYNTAX_FAIL,33,1,-1,-1,376,18,1.4444590289999724,1.165203892999898,6.962846728000159,0b02558884fe9fd032a8f2fab72cf628599d46f142a91bf009e30f0f158abc58,819e2e532350ce7ce7e3bc204ada513f052ec6581b90a089778ee70e20da8cc0,
cmdi_01_C0_R2,cmdi_01.py,C0,2,2026-09-07T14:49:48.680736+00:00,qwen/qwen3.6-27b,0.0,400,True,True,True,False,False,False,False,False,False,False,SYNTAX_FAIL,33,1,-1,-1,376,18,14.640955695999992,16.285364370000025,35.157152107,0b02558884fe9fd032a8f2fab72cf628599d46f142a91bf009e30f0f158abc58,819e2e532350ce7ce7e3bc204ada513f052ec6581b90a089778ee70e20da8cc0,
cmdi_01_C0_R3,cmdi_01.py,C0,3,2026-09-07T14:50:23.839132+00:00,qwen/qwen3.6-27b,0.0,400,True,False,False,False,False,False,False,False,False,False,ERROR,0,0,-1,-1,376,18,0.0,0.0,15.219161204999864,0b02558884fe9fd032a8f2fab72cf628599d46f142a91bf009e30f0f158abc58,,Groq API failed after 3 attempts
cmdi_01_C1_R1,cmdi_01.py,C1,1,2026-09-07T14:50:39.059846+00:00,qwen/qwen3.6-27b,0.0,400,True,True,False,False,False,False,False,False,False,False,ERROR,0,0,-1,-1,858,24,6.4763804540000365,0.0,22.440474599000027,49780699d0182c2b0a44acd7101cfd1dfc8c6c94defc39a371aa1f04e004c33e,74e5494a8e976eb0d52373744df36fb52e285bf9419ed5a6412eab338e1f19ee,Groq API failed after 3 attempts
cmdi_01_C1_R2,cmdi_01.py,C1,2,2026-09-07T14:51:01.501789+00:00,qwen/qwen3.6-27b,0.0,400,True,True,False,False,False,False,False,False,False,False,ERROR,0,0,-1,-1,858,24,6.6858696330000384,0.0,24.040573274999815,765d35291e4a8ea63f749927c652aec5ea3062b19cbf7350862cb5c5d88b332b,d17402a6beb899ce8fb315c48e6e525a823a54702606e2910f28fa305d0a72a8,Groq API failed after 3 attempts
cmdi_01_C1_R3,cmdi_01.py,C1,3,2026-09-07T14:51:25.543775+00:00,qwen/qwen3.6-27b,0.0,400,True,True,False,False,False,False,False,False,False,False,ERROR,0,0,-1,-1,858,24,6.491753708000033,0.0,21.787795090999907,ddddea4d31fee1fe33ce2ddfbf2c6c62b01fce5d7455e2012e967e2bed863d7e,5e344168aefaf08ac3eca2e67d095799aed857103aec509e228804a1503da8a2,Groq API failed after 3 attempts
cmdi_01_C2_R1,cmdi_01.py,C2,1,2026-09-07T14:51:47.332891+00:00,qwen/qwen3.6-27b,0.0,400,True,True,False,False,False,False,False,False,False,False,ERROR,0,0,-1,-1,1273,38,11.78841037999996,0.0,26.644345927999893,5937d377ad8107563babead4ec6a52f4bc1bcc5ea88144d21d173342a01586b3,cb3d4eb3ef5267d6dc680c3f4537e97887e3079775be25707b0038374c2821fc,Groq API failed after 3 attempts
cmdi_01_C2_R2,cmdi_01.py,C2,2,2026-09-07T14:52:13.978471+00:00,qwen/qwen3.6-27b,0.0,400,True,True,False,False,False,False,False,False,False,False,ERROR,0,0,-1,-1,1273,38,6.384921351999992,0.0,21.414832653000076,9096162a9a2c16fceaf2b4de852a32347dabddb30f3963ec73f4f990648127ab,cb3d4eb3ef5267d6dc680c3f4537e97887e3079775be25707b0038374c2821fc,Groq API failed after 3 attempts
cmdi_01_C2_R3,cmdi_01.py,C2,3,2026-09-07T14:52:35.393611+00:00,qwen/qwen3.6-27b,0.0,400,True,True,False,False,False,False,False,False,False,False,ERROR,0,0,-1,-1,1273,38,11.675016283999867,0.0,26.695365602000038,557c62b149b1d0dd1bd15a4bd02bae51049901c07469572aec39010236eecd9e,cb3d4eb3ef5267d6dc680c3f4537e97887e3079775be25707b0038374c2821fc,Groq API failed after 3 attempts
cmdi_01_C3_R1,cmdi_01.py,C3,1,2026-09-07T14:53:02.090283+00:00,qwen/qwen3.6-27b,0.0,400,True,True,False,False,False,False,False,False,False,False,ERROR,0,0,-1,-1,1805,48,6.279570950999869,0.0,21.254817141000103,c70caa1cabea7e9b45d4b614ea853492cfbf0cd163e55b87da8f60ef9c01e543,47da94463abf32a27a5a9566618321bed7c7939a9eab3f69ab682b47bd3a72f8,Groq API failed after 3 attempts
